"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"d:\研究生\singleCell\workspace\code-summary\CCI\cellchat\post-process\分离P和V.py", "Python", 0, -1, 0, 0, -1
"d:\研究生\singleCell\workspace\code-summary\CCI\网络图-按模块.md", "Markdown", 7, 0, 0, 1, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\TCGA_heatmap.md", "Markdown", 93, 0, 0, 22, 115
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 67, 0, 3, 70
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 67, 0, 3, 70
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\cci_bubble\cellchat.md", "Markdown", 108, 0, 0, 12, 120
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\cci_bubble\cellphonedb.md", "Markdown", 109, 0, 0, 11, 120
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\corr_heatmap\corr.py", "Python", 0, 15, 0, 4, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 115, 2, 7, 124
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 72, 0, 0, 6, 78
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 29, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\append_ana\gsva_an\gsva_an.py", "Python", 0, 18, 0, 10, 28
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\heatmap修正.py", "Python", 0, 7, 0, 0, 7
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\score.md", "Markdown", 7, 0, 0, 2, 9
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\score_range.md", "Markdown", 123, 0, 0, 18, 141
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\subTME_heatmap\gene_expr-CAF.md", "Markdown", 85, 0, 0, 13, 98
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\subTME_heatmap\gene_expr-TAM.md", "Markdown", 79, 0, 0, 12, 91
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\subTME_heatmap\gene_expr.md", "Markdown", -80, 0, 0, -14, -94
"d:\研究生\singleCell\workspace\code-summary\数据处理\BRCA\合并&细胞比例.py", "Python", 0, 20, 1, 2, 23
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\TCGA_heatmap.md", "Markdown", 71, 0, 0, 14, 85
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 77, 0, 3, 80
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 77, 0, 2, 79
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\cci_bubble\cellchat.md", "Markdown", 110, 0, 0, 9, 119
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\cci_bubble\cellphonedb.md", "Markdown", 109, 0, 0, 9, 118
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\corr_heatmap\corr.py", "Python", 0, 15, 0, 4, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\corr_heatmap\expr_fib.md", "Markdown", 6, 0, 0, 0, 6
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 116, 2, 7, 125
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 73, 0, 0, 5, 78
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 30, 0, 4, 34
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\append_ana\gsva_an\gsva_an.py", "Python", 0, 16, 0, 7, 23
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\heatmap修正.py", "Python", 0, 9, 0, 1, 10
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\subTME_heatmap\gene_expr-CAFy.md", "Markdown", 88, 0, 0, 18, 106
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\subTME_heatmap\gene_expr-TAM.md", "Markdown", 79, 0, 0, 15, 94
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\subTME_heatmap\gene_expr.md", "Markdown", -70, 0, 0, -11, -81
"d:\研究生\singleCell\workspace\code-summary\数据处理\CRC\空间转录组分析.md", "Markdown", 50, 0, 0, 8, 58
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\TCGA_heatmap.md", "Markdown", 69, 0, 0, 13, 82
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 77, 0, 2, 79
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 77, 0, 2, 79
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\cci_bubble\cellchat.md", "Markdown", 109, 0, 0, 7, 116
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\cci_bubble\cellphonedb.md", "Markdown", 108, 0, 0, 9, 117
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\corr_heatmap\corr.py", "Python", 0, 6, 0, 2, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\corr_heatmap\expr_fib.md", "Markdown", 6, 0, 0, 0, 6
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 115, 2, 7, 124
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 73, 0, 0, 5, 78
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 29, 0, 7, 36
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 7, 36
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\append_ana\gsva_an\gsva_an.py", "Python", 0, 16, 0, 7, 23
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\heatmap修正.py", "Python", 0, 12, 0, 0, 12
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\subTME_heatmap copy\gene_expr-CAF.md", "Markdown", 84, 0, 0, 12, 96
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\subTME_heatmap copy\gene_expr-TAM.md", "Markdown", 77, 0, 0, 10, 87
"d:\研究生\singleCell\workspace\code-summary\数据处理\ESCA\subTME_heatmap copy\gene_expr.md", "Markdown", -68, 0, 0, -10, -78
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\CCI\cellphonedb.md", "Markdown", 54, 0, 0, 10, 64
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\CCI\数据处理步骤.md", "Markdown", 8, 0, 0, 0, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\b\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\end\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\epi\score.md", "Markdown", 17, 0, 0, 4, 21
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\fib\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\mye\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\score.md", "Markdown", 123, 0, 0, 11, 134
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\tnk\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\属于每个大类的细胞比例.py", "Python", 0, 46, 4, 9, 59
"d:\研究生\singleCell\workspace\code-summary\数据处理\LC-19\获取score需要的基因.md", "Markdown", 40, 0, 0, 2, 42
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\TCGA_heatmap.md", "Markdown", 73, 0, 0, 11, 84
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\DEG_singlecell\DEG_cellchat.py", "Python", 0, 77, 0, 2, 79
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\DEG_singlecell\DEG_cellphonedb.py", "Python", 0, 67, 0, 2, 69
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\DEG_singlecell\get_gene.py", "Python", 0, 24, 0, 1, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\cci_bubble\cellchat.md", "Markdown", 87, 0, 0, 10, 97
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\cci_bubble\cellphonedb.md", "Markdown", 108, 0, 0, 9, 117
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\corr_heatmap\corr.py", "Python", 0, 6, 0, 2, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\corr_heatmap\expr_fib.md", "Markdown", 6, 0, 0, 0, 6
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\gene_expr_corr\corr-gene-cell.py", "Python", 0, 115, 2, 7, 124
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\gene_expr_corr\expr_diff.md", "Markdown", 72, 0, 0, 5, 77
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\gene_expr_corr\tcga_heatmap_1.py", "Python", 0, 23, 0, 4, 27
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\gene_expr_corr\tcga_heatmap_2.py", "Python", 0, 29, 0, 4, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\append_ana\gsva_an\gsva_an.py", "Python", 0, 17, 0, 6, 23
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\heatmap修正.py", "Python", 0, 16, 0, 0, 16
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\subTME_heatmap copy\gene_expr-CAF.md", "Markdown", 85, 0, 0, 12, 97
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\subTME_heatmap copy\gene_expr-TAM.md", "Markdown", 77, 0, 0, 10, 87
"d:\研究生\singleCell\workspace\code-summary\数据处理\PDAC\subTME_heatmap copy\gene_expr.md", "Markdown", -68, 0, 0, -10, -78
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\CCI\cellphonedb.md", "Markdown", 54, 0, 0, 10, 64
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\CCI\数据处理步骤.md", "Markdown", 8, 0, 0, 0, 8
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\b\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\end\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\epi\score.md", "Markdown", 17, 0, 0, 4, 21
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\fib\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\mye\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\score.md", "Markdown", 95, 0, 0, 10, 105
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\tnk\score.md", "Markdown", 17, 0, 0, 3, 20
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\属于每个大类的细胞比例.py", "Python", 0, 46, 4, 9, 59
"d:\研究生\singleCell\workspace\code-summary\数据处理\RCC-31\获取score需要的基因.md", "Markdown", 39, 0, 0, 3, 42
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT10-dotplot\bc.md", "Markdown", 22, 0, 0, 6, 28
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT10-dotplot\esca.md", "Markdown", 43, 0, 0, 8, 51
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT10-dotplot\pdac.md", "Markdown", 43, 0, 0, 5, 48
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT11-corrplot\bc.md", "Markdown", 28, 0, 0, 5, 33
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT11-corrplot\esca.md", "Markdown", 28, 0, 0, 3, 31
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT11-corrplot\pdac.md", "Markdown", 29, 0, 0, 3, 32
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT12-dotplot\bc.md", "Markdown", 38, 0, 0, 4, 42
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT12-dotplot\esca.md", "Markdown", 36, 0, 0, 4, 40
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT12-dotplot\pdac.md", "Markdown", 36, 0, 0, 3, 39
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT2-boxplot\bc.md", "Markdown", 39, 0, 0, 5, 44
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT2-boxplot\esca.md", "Markdown", 38, 0, 0, 5, 43
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT2-boxplot\pdac.md", "Markdown", 38, 0, 0, 5, 43
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT3-2-boxplot\bc.md", "Markdown", 186, 0, 0, 91, 277
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT3-2-boxplot\esca.md", "Markdown", 186, 0, 0, 92, 278
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT3-2-boxplot\pdac.md", "Markdown", 186, 0, 0, 82, 268
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT4-barplot\bc.md", "Markdown", 19, 0, 0, 3, 22
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT4-barplot\esca.md", "Markdown", 19, 0, 0, 2, 21
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT4-barplot\pdac.md", "Markdown", 16, 0, 0, 2, 18
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT5-heatmap\bc.md", "Markdown", 18, 0, 0, 1, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT5-heatmap\esca.md", "Markdown", 17, 0, 0, 2, 19
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT5-heatmap\pdac.md", "Markdown", 358, 0, 0, 10, 368
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT6-heatmap\bc.md", "Markdown", 23, 0, 0, 3, 26
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT6-heatmap\esca.md", "Markdown", 21, 0, 0, 5, 26
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT6-heatmap\pdac.md", "Markdown", 22, 0, 0, 4, 26
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT7-boxplot\bc.md", "Markdown", 49, 0, 0, 8, 57
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT7-boxplot\esca.md", "Markdown", 49, 0, 0, 10, 59
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT7-boxplot\pdac.md", "Markdown", 49, 0, 0, 8, 57
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT8-boxplot\bc.md", "Markdown", 72, 0, 0, 11, 83
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT8-boxplot\esca.md", "Markdown", 73, 0, 0, 14, 87
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT8-boxplot\pdac.md", "Markdown", 73, 0, 0, 12, 85
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT9-boxplot\bc.md", "Markdown", 39, 0, 0, 4, 43
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT9-boxplot\esca.md", "Markdown", 47, 0, 0, 8, 55
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\PPT9-boxplot\pdac.md", "Markdown", 39, 0, 0, 4, 43
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\module-an\module-an.py", "Python", 0, 18, 0, 7, 25
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\ppt3-1-heatmap\bc.md", "Markdown", 36, 0, 0, 3, 39
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\ppt3-1-heatmap\esca.md", "Markdown", 36, 0, 0, 3, 39
"d:\研究生\singleCell\workspace\code-summary\数据处理\通量计算补充\ppt3-1-heatmap\pdac.md", "Markdown", 36, 0, 0, 3, 39
"Total", "-", 4729, 1652, 17, 927, 7325